,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M
2010-01-01,26.82,16.57,9.81,82.4
2010-01-02,24.18,17.39,9.0,86.73
2010-01-03,25.71,16.71,2.0,81.4
2010-01-04,24.33,15.29,7.91,81.25
2010-01-05,26.36,14.22,3.07,72.68
2010-01-06,27.44,15.28,4.75,72.76
2010-01-07,27.17,16.09,1.77,74.75
2010-01-08,27.38,15.96,0.61,74.47
2010-01-09,25.58,16.4,4.79,78.91
2010-01-10,25.71,15.37,5.79,72.49
2010-01-11,26.13,15.02,0.85,68.22
2010-01-12,26.36,13.91,0.03,60.27
2010-01-13,25.94,12.65,0.02,61.47
2010-01-14,26.3,12.53,0.07,66.01
2010-01-15,27.56,14.4,0.06,69.68
2010-01-16,27.81,15.05,0.47,70.37
2010-01-17,27.26,14.9,0.32,71.08
2010-01-18,27.95,15.22,0.41,64.89
2010-01-19,28.0,14.45,0.35,71.3
2010-01-20,28.17,15.14,0.34,70.37
2010-01-21,28.81,15.04,0.25,65.53
2010-01-22,29.54,15.34,0.34,64.28
2010-01-23,28.62,15.77,0.25,66.96
2010-01-24,29.05,15.15,0.29,64.54
2010-01-25,28.27,14.8,0.24,65.12
2010-01-26,29.65,12.98,0.01,54.81
2010-01-27,29.22,13.21,0.0,59.09
2010-01-28,29.15,13.85,0.0,61.02
2010-01-29,28.14,15.83,0.01,66.23
2010-01-30,28.96,15.52,0.0,61.28
2010-01-31,28.4,15.51,1.54,66.38
2010-02-01,29.4,16.23,1.08,63.12
2010-02-02,31.24,14.28,0.09,59.28
2010-02-03,30.42,16.14,0.45,62.45
2010-02-04,30.76,15.44,2.08,62.47
2010-02-05,26.51,16.33,0.9,70.6
2010-02-06,26.03,17.55,2.75,71.99
2010-02-07,28.21,15.53,3.05,70.53
2010-02-08,29.12,16.13,0.73,65.84
2010-02-09,28.63,15.1,0.38,64.03
2010-02-10,29.7,12.92,0.37,59.53
2010-02-11,29.87,14.54,0.63,60.59
2010-02-12,28.7,16.55,4.06,70.56
2010-02-13,27.83,15.97,4.28,75.06
2010-02-14,28.38,16.54,3.23,74.06
2010-02-15,29.16,16.18,1.63,69.11
2010-02-16,29.43,15.63,0.94,68.26
2010-02-17,27.76,17.32,7.44,72.62
2010-02-18,27.45,16.97,6.17,72.88
2010-02-19,26.96,17.63,7.01,75.99
2010-02-20,26.39,17.3,9.48,79.85
2010-02-21,25.45,17.14,4.47,81.11
2010-02-22,25.23,16.88,2.97,77.21
2010-02-23,28.21,16.47,1.81,70.97
2010-02-24,29.31,15.86,0.61,68.65
2010-02-25,30.23,15.75,1.3,66.99
2010-02-26,29.66,15.85,3.99,72.14
2010-02-27,29.16,17.13,3.24,74.94
2010-02-28,28.68,17.0,10.75,76.21
2010-03-01,25.35,16.94,4.42,78.32
2010-03-02,28.73,16.49,1.0,67.33
2010-03-03,27.59,17.49,7.41,77.52
2010-03-04,29.48,16.85,3.51,68.65
2010-03-05,29.77,17.49,1.47,67.74
2010-03-06,27.61,16.9,3.3,76.52
2010-03-07,26.13,17.67,8.97,83.31
2010-03-08,22.68,17.3,4.91,89.58
2010-03-09,27.1,16.31,2.77,81.92
2010-03-10,27.34,16.92,2.26,78.42
2010-03-11,28.56,15.46,1.55,72.1
2010-03-12,28.65,15.35,0.66,69.06
2010-03-13,28.83,15.39,0.73,71.23
2010-03-14,28.95,15.74,1.88,70.38
2010-03-15,28.54,15.64,1.81,71.28
2010-03-16,27.52,17.23,3.17,77.07
2010-03-17,28.97,15.61,1.78,66.59
2010-03-18,30.11,15.81,1.43,63.3
2010-03-19,29.44,16.98,3.94,70.76
