County,Latitude,Longitude,Soil_pH_0_5cm
Mombasa,-4.0435,39.6682,
Kwale,-4.1737,39.4521,58.0
Kilifi,-3.5106,39.9093,63.0
Tana River,-1.5011,40.0334,74.0
Lamu,-2.2697,40.902,
Taita Taveta,-3.398,38.556,67.0
Garissa,-0.4532,39.646,
Wajir,1.7471,40.0573,76.0
Mandera,3.9373,41.8569,
Marsabit,2.3284,37.9899,70.0
Isiolo,0.3556,37.5822,65.0
Meru,0.047,37.6498,55.0
Tharaka-Nithi,-0.2965,37.7237,59.0
Embu,-0.5394,37.4572,59.0
Kitui,-1.367,38.0106,64.0
Machakos,-1.5177,37.2634,61.0
Makueni,-1.8041,37.62,60.0
Nyandarua,-0.18,36.522,58.0
Nyeri,-0.4167,36.95,62.0
Kirinyaga,-0.6591,37.3827,59.0
Murang'a,-0.7167,37.15,60.0
Kiambu,-1.1714,36.8356,61.0
Turkana,3.1167,35.6,79.0
West Pokot,1.621,35.23,62.0
Samburu,1.215,36.954,70.0
Trans Nzoia,1.0191,35.0023,
Uasin Gishu,0.5143,35.2698,61.0
Elgeyo-Marakwet,0.8025,35.478,59.0
Nandi,0.1836,35.126,56.0
Baringo,0.4667,35.9667,68.0
Laikipia,0.36,36.7819,69.0
Nakuru,-0.3031,36.08,
Narok,-1.087,35.864,67.0
Kajiado,-1.8523,36.7768,67.0
Kericho,-0.367,35.283,
Bomet,-0.783,35.342,
Kakamega,0.2827,34.7519,
Vihiga,0.078,34.721,55.0
Bungoma,0.569,34.558,
Busia,0.46,34.111,
Siaya,0.061,34.288,56.0
Kisumu,-0.1022,34.7617,
Homa Bay,-0.5273,34.4571,
Migori,-1.0634,34.4731,
Kisii,-0.6833,34.7667,54.0
Nyamira,-0.5667,34.9333,53.0
Nairobi,-1.2864,36.8172,
